name,category,start_price,wifi_status,wifi_speed,conclusion,point_to_consider,street,urban_village,district,regency,province,postal_code
Beda Cerita,"comfy place, high view, night view, chill vibes, hangout rekomended, good service",16,Available,Fast,WFC-able,"Panas (Ketika Siang), Kalau Mau Experience Internet Speed Dengan Kecepatan 200+ Mbps (25MBps), Cobain Duduk Di Sekitar Bar Area",Jl. Jatihandap No.138,Mandalamekar,Cimenyan,Kota Bandung,Jawa Barat ,40193
Dreezel - Tubagus Ismail,"smoking area, cita rasa, instagramable, affordable price, tempat luas, comfy place",15,Available,Fine,WFC-able,"Tidak Ada Colokan Di Area Outdoor, Koneksi Internet Tidak Sampai Ke Area Outdoor (Kalau Mau WFC, Better Duduk Di Area Indoor-nya) + After Lunch, Di Sini Cukup Crowded (Internet Jadi Lemot)",Jl. Tubagus Ismail No.7,Sekeloa,Coblong,Kota Bandung,Jawa Barat ,40391
Four C'S - Riau,"cozy, 5 star review, meeting room, nyaman, asri, pelayan ramah, outdoor unik",20,Available,Fast,WFC-able,"Tempatnya Ga Begitu Luas, Hanya Ada 1 Area (Semi-Outdoor/Non-Smoking) WFC-able (with 6 Tables and 20 Seats). Make Sure You Got One!",LLRE Martadinata St No.187,Cihapit,Bandung Wetan,Kota Bandung,Jawa Barat ,40113
Bagi Kopi - Ciumbuleuit,"non-smoking area dan smoking area, 5 star review, tempat luas, futuristik desain",18,Available,Fast,WFC-able,"Internet Speed-nya Tidak Secepat Waktu Awal Gue Coba Test. Lambat Laun Bakal Berkurang Seiring Bertambahnya Crowd yang Dateng. Tapi, Selama Gue Coba Kerja Lebih Dari 3 Jam Di Sini Aman Kok..",Jl. Ciumbuleuit No.106a,Ciumbuleuit,Cidadap,Kota Bandung,Jawa Barat ,40142
The Kamasan,"banyak promo, cita rasa, semi outdoor, affordable price, coffee space",22,Available,Fine,Preferable,Di sini kalau pagi (between jam 7 - 10) cukup crowded dan noisy,Jl. Halmahera No.4,Citarum,Bandung Wetan,Kota Bandung,Jawa Barat ,40115
Mutu Loka,"pelayan ramah, barista, good atmosphere, suasana nyaman, interior unik",27,Available,Very Fast,WFC-able,"Mostly area yang proper dan support untuk laptop-an hanya ada di area non-smoking, jadi buat gue personally di sini kurang smoker-friendly (kalau konteksnya buat WFC)",Cilaki St No.33,Cihapit,Bandung Wetan,Kota Bandung,Jawa Barat ,40114
Disebut Kopi,"cita rasa, cozy, suasana nyaman, wfc able, indoor dan outdoor",20,Available,Fine,WFC-able,"Coffee shop ini enak buat dipakai laptop-an atau WFC, cuma internet speed yang tergolong biasa aja mungking bisa jadi salah satu concern kamu waktu decide buat WFC di sini nantinya","Jl. Ir. H. Juanda No.84 Lantai 1,",Coblong,Coblong,Kota Bandung,Jawa Barat ,40132
Kineruku,"banyak buku, interior unik, daya tarik bangunan, cozy, suasana alam",22,Not-Available,Not-Available,Non-WFC-able,"Jangan expect lebih soal product, karena ini bukan coffee shop, tapi ini book store. Cuma kebetulan di sini jual minuman & makanan. Tempat ini lebi suitable buat me-time, bengong, dan baca buku. Karena kebetulan di sini noise level-nya cukup sunyi.",Jl. Hegarmanah No.52,Hegarmanah,Cidadap,Kota Bandung,Jawa Barat ,40141
Semaru Coffee & Studio,"konsep mini studio, cozy, indoor dan outdoor, instagramable, nyaman",25,Available,Fast,WFC-able,"Kalau siang, di sini cukup gerah dan panas",Jl. Brigadir Jend. Katamso No.13,Cihaur Geulis,Cibeunying Kaler,Kota Bandung,Jawa Barat ,40122
Trois Coffee & Chill,"sejuk, affordable price, tempat luas, nice view, suasana alam, asri",18,Available,Fine,WFC-able,"Mostly area di sini outdoor dan misbar (gerimis bubar), kalau mau WFC di sini aku suggest kamu buat duduk di area deket Bar karena semi-indoor (gak misbar) dan jangan lupa bawa colokan panjang dari rumah (karena kebetulan jarak seating area dan colokan sekitar 1,5 meter)",Jl. Bukit Pakar Utara No.42B,Citarum,Bandung Wetan,Kota Bandung,Jawa Barat ,40115
